BSBG05D,BSBG04,BSBG13E,BSBG13D,BSBG14A,BSBM16A,BSBM17D,BSBM18C,BSBM20E,BSBM20I,mean_PV
Yes,None or very few (0–10 books),Disagree a little,Disagree a little,A few times a year,Disagree a little,Disagree a lot,Every or almost every lesson,Disagree a little,Agree a lot,460.7190060000001
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Disagree a little,Agree a lot,314.058348
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a little,Some lessons,Agree a lot,Agree a lot,376.303092
No,None or very few (0–10 books),Agree a little,Agree a little,A few times a year,Agree a little,Disagree a lot,Every or almost every lesson,Agree a little,Agree a lot,283.62660400000004
No,Enough to fill one shelf (11–25 books),Disagree a lot,Agree a little,At least once a week,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,407.428348
Yes,Enough to fill one shelf (11–25 books),Disagree a lot,Disagree a lot,A few times a year,Agree a lot,Disagree a lot,Every or almost every lesson,Agree a little,Agree a lot,478.981628
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,381.03018600000007
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,Never,Agree a little,Agree a lot,Every or almost every lesson,Agree a little,Disagree a little,391.794612
Yes,Enough to fill two bookcases (101–200 books),Disagree a little,Agree a little,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,455.6876
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,383.33671
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,Never,Agree a little,Agree a little,About half the lessons,Agree a lot,Agree a lot,366.74104
No,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a lot,A few times a year,Disagree a lot,Disagree a lot,Every or almost every lesson,Disagree a lot,Disagree a lot,470.66784000000007
No,None or very few (0–10 books),Disagree a little,Disagree a lot,Never,Agree a little,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,399.2415440000001
No,None or very few (0–10 books),Agree a lot,Disagree a lot,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,369.583708
Yes,Enough to fill two bookcases (101–200 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,397.72923
Yes,None or very few (0–10 books),Disagree a lot,Disagree a lot,Once or twice a month,Disagree a lot,Agree a lot,Never,Agree a lot,Agree a lot,405.114386
Yes,None or very few (0–10 books),Disagree a little,Disagree a lot,A few times a year,Disagree a lot,Agree a lot,Every or almost every lesson,Disagree a lot,Disagree a lot,377.32571
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,332.113876
