BSBG05D,BSBG04,BSBG13E,BSBG13D,BSBG14A,BSBM16A,BSBM17D,BSBM18C,BSBM20E,BSBM20I,mean_PV,score_category
Yes,Enough to fill three or more bookcases (more than 200),Agree a little,Agree a little,Once or twice a month,Disagree a little,Disagree a little,Every or almost every lesson,Disagree a little,Agree a lot,361.61545,1
Yes,None or very few (0–10 books),Disagree a little,Disagree a lot,Once or twice a month,Agree a little,Agree a lot,Never,Agree a little,Agree a lot,371.209198,1
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,328.915932,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a little,380.069428,1
No,None or very few (0–10 books),Disagree a little,Disagree a little,A few times a year,Disagree a little,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,450.193478,2
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,413.836106,2
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,358.237494,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Once or twice a month,Agree a lot,Agree a little,About half the lessons,Agree a little,Agree a lot,413.5735199999999,2
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Agree a lot,Never,Agree a little,Agree a lot,417.857656,2
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a little,About half the lessons,Agree a lot,Agree a lot,376.922828,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Disagree a lot,Agree a lot,353.915042,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,342.18078,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Disagree a little,Disagree a little,About half the lessons,Agree a lot,Agree a lot,329.16901399999995,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Once or twice a month,Agree a little,Agree a little,Some lessons,Agree a little,Agree a little,371.95949400000006,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Every or almost every lesson,Disagree a little,Agree a little,324.669968,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Once or twice a month,Agree a little,Agree a lot,Every or almost every lesson,Disagree a lot,Agree a little,400.070096,2
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,377.928366,1
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,442.741844,2
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Never,Disagree a lot,Agree a lot,369.59296400000005,1
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,Never,Agree a little,Disagree a little,Some lessons,Agree a little,Agree a little,395.228594,1
Yes,None or very few (0–10 books),Agree a little,Agree a lot,A few times a year,Agree a little,Agree a lot,Never,Agree a little,Agree a lot,398.600332,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,426.88872,2
Yes,Enough to fill one shelf (11–25 books),Disagree a little,Disagree a little,A few times a year,Disagree a lot,Agree a lot,About half the lessons,Disagree a little,Agree a lot,402.660382,2
Yes,Enough to fill one bookcase (26–100 books),Agree a little,Agree a little,At least once a week,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a lot,382.7574,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Once or twice a month,Agree a little,Agree a little,Every or almost every lesson,Agree a little,Agree a lot,341.729782,1
No,Enough to fill three or more bookcases (more than 200),Agree a lot,Agree a little,A few times a year,Disagree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,305.002256,1
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,Once or twice a month,Disagree a little,Agree a little,Some lessons,Disagree a lot,Disagree a lot,333.825102,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,370.030228,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,460.883122,2
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Every or almost every lesson,Agree a lot,Disagree a lot,380.757882,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,262.101126,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,370.432656,1
Yes,None or very few (0–10 books),Agree a little,Agree a little,Once or twice a month,Disagree a lot,Disagree a little,Every or almost every lesson,Disagree a lot,Agree a lot,400.923404,2
No,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,384.570262,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a little,Every or almost every lesson,Agree a lot,Agree a lot,323.612606,1
No,None or very few (0–10 books),Disagree a lot,Agree a little,At least once a week,Disagree a lot,Disagree a lot,Every or almost every lesson,Disagree a lot,Disagree a little,398.131006,1
No,None or very few (0–10 books),Disagree a little,Agree a lot,A few times a year,Disagree a lot,Agree a little,Every or almost every lesson,Agree a lot,Disagree a little,318.593076,1
Yes,Enough to fill one shelf (11–25 books),Disagree a lot,Disagree a lot,Never,Agree a lot,Agree a lot,Never,Disagree a lot,Agree a lot,399.450354,1
Yes,Enough to fill one shelf (11–25 books),Agree a little,Disagree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,313.900476,1
No,None or very few (0–10 books),Agree a lot,Agree a little,Once or twice a month,Agree a little,Agree a lot,Some lessons,Agree a lot,Agree a lot,296.696804,1
No,None or very few (0–10 books),Disagree a lot,Disagree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,328.045716,1
No,None or very few (0–10 books),Disagree a little,Disagree a lot,Never,Disagree a lot,Disagree a lot,Every or almost every lesson,Disagree a lot,Agree a lot,373.373386,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a little,Agree a lot,Some lessons,Agree a little,Agree a lot,310.06774,1
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,A few times a year,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,350.487982,1
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,Once or twice a month,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,280.931616,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Disagree a lot,Disagree a lot,About half the lessons,Agree a little,Agree a lot,255.31025,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,A few times a year,Disagree a lot,Agree a little,Some lessons,Agree a little,Agree a lot,377.499222,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a lot,At least once a week,Disagree a little,Disagree a little,Every or almost every lesson,Agree a little,Disagree a lot,323.549622,1
No,None or very few (0–10 books),Agree a little,Disagree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,325.564894,1
No,None or very few (0–10 books),Disagree a little,Agree a lot,Never,Agree a little,Disagree a lot,About half the lessons,Disagree a little,Agree a little,291.981526,1
Yes,None or very few (0–10 books),Agree a little,Agree a little,Never,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a lot,294.57252400000004,1
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,Never,Disagree a lot,Disagree a little,Never,Agree a little,Disagree a lot,296.71588,1
Yes,Enough to fill three or more bookcases (more than 200),Agree a little,Agree a lot,Once or twice a month,Agree a lot,Agree a little,Every or almost every lesson,Agree a lot,Agree a lot,495.451042,3
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Disagree a lot,Disagree a lot,Some lessons,Disagree a lot,Disagree a lot,306.20570200000003,1
No,None or very few (0–10 books),Disagree a lot,Disagree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,395.516778,1
Yes,Enough to fill one bookcase (26–100 books),Disagree a little,Disagree a little,At least once a week,Disagree a little,Disagree a lot,Every or almost every lesson,Agree a little,Disagree a little,323.346038,1
No,None or very few (0–10 books),Disagree a lot,Agree a lot,A few times a year,Agree a lot,Disagree a lot,Some lessons,Agree a lot,Agree a lot,443.391994,2
No,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Disagree a little,Every or almost every lesson,Agree a little,Agree a little,263.42094800000007,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a little,About half the lessons,Agree a little,Agree a lot,277.81172200000003,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a little,About half the lessons,Agree a little,Agree a lot,321.8699439999999,1
No,Enough to fill three or more bookcases (more than 200),Disagree a little,Disagree a lot,At least once a week,Disagree a lot,Agree a little,Every or almost every lesson,Disagree a lot,Agree a lot,338.270842,1
No,Enough to fill three or more bookcases (more than 200),Agree a lot,Agree a lot,At least once a week,Agree a lot,Disagree a lot,Some lessons,Disagree a lot,Agree a little,321.587082,1
No,None or very few (0–10 books),Agree a little,Agree a little,At least once a week,Disagree a lot,Agree a little,About half the lessons,Agree a little,Agree a lot,346.13531199999994,1
No,None or very few (0–10 books),Agree a little,Disagree a little,At least once a week,Disagree a lot,Agree a lot,Some lessons,Disagree a lot,Agree a little,302.64178200000003,1
No,Enough to fill one shelf (11–25 books),Disagree a lot,Agree a little,Once or twice a month,Agree a little,Agree a lot,Every or almost every lesson,Agree a little,Agree a little,285.736768,1
No,None or very few (0–10 books),Disagree a little,Agree a lot,At least once a week,Agree a little,Disagree a lot,Never,Agree a lot,Agree a lot,250.43078400000005,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Disagree a lot,Agree a little,376.53214,1
Yes,None or very few (0–10 books),Disagree a little,Agree a little,Once or twice a month,Agree a little,Disagree a lot,About half the lessons,Agree a little,Agree a lot,323.23814200000004,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Disagree a little,Agree a lot,Some lessons,Disagree a little,Agree a lot,274.399316,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Agree a lot,Every or almost every lesson,Agree a lot,Agree a little,255.249598,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Disagree a lot,Agree a lot,290.124386,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Never,Disagree a little,Agree a lot,347.502572,1
No,None or very few (0–10 books),Disagree a little,Agree a little,Never,Disagree a little,Disagree a lot,About half the lessons,Disagree a little,Agree a little,243.602746,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,302.91212,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,366.925578,1
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,A few times a year,Agree a little,Agree a lot,Never,Disagree a lot,Agree a little,327.69588,1
Yes,None or very few (0–10 books),Agree a lot,Agree a little,A few times a year,Agree a little,Agree a lot,About half the lessons,Agree a lot,Agree a lot,245.169912,1
No,None or very few (0–10 books),Agree a little,Agree a lot,Never,Agree a little,Agree a little,Some lessons,Disagree a little,Agree a lot,346.410116,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a lot,194.209476,1
No,Enough to fill one bookcase (26–100 books),Agree a little,Disagree a little,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,463.37529799999993,2
No,Enough to fill one bookcase (26–100 books),Agree a little,Disagree a little,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,379.886988,1
No,None or very few (0–10 books),Agree a little,Agree a lot,At least once a week,Agree a little,Agree a lot,About half the lessons,Agree a lot,Agree a lot,384.461284,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a lot,298.02477,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Never,Agree a little,Agree a lot,294.624158,1
No,None or very few (0–10 books),Agree a little,Agree a little,Never,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a little,339.67482,1
No,None or very few (0–10 books),Agree a lot,Agree a little,Never,Disagree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,239.648304,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Disagree a little,Agree a lot,Every or almost every lesson,Agree a little,Agree a little,234.482486,1
No,Enough to fill one bookcase (26–100 books),Agree a little,Agree a little,Once or twice a month,Agree a lot,Agree a little,Never,Disagree a little,Disagree a little,353.952864,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,429.171784,2
No,None or very few (0–10 books),Agree a little,Agree a little,Once or twice a month,Agree a little,Agree a little,Never,Disagree a lot,Disagree a lot,388.42233,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a little,306.83942599999995,1
No,None or very few (0–10 books),Agree a little,Agree a lot,A few times a year,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,381.899974,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Agree a lot,Never,Agree a little,Agree a lot,341.71444,1
No,None or very few (0–10 books),Agree a little,Agree a little,At least once a week,Agree a little,Agree a little,About half the lessons,Agree a little,Disagree a little,290.34903,1
Yes,None or very few (0–10 books),Disagree a lot,Agree a little,Never,Agree a little,Agree a lot,About half the lessons,Disagree a little,Agree a lot,351.316432,1
Yes,None or very few (0–10 books),Disagree a lot,Disagree a lot,Never,Agree a little,Disagree a lot,Never,Disagree a lot,Disagree a lot,331.82108800000003,1
No,None or very few (0–10 books),Agree a little,Agree a lot,Never,Agree a little,Agree a lot,About half the lessons,Disagree a little,Agree a little,319.28808000000004,1
